Sl,PID,FN,LN,Pos,Coun,DOB
245,270,Ronnie,Whelan,M,Ireland,25-Sep-61
246,271,Steve,McManaman,M,England,11-Feb-72
247,272,Don,Hutchison,F,Scotland,09-May-71
249,273,Lee,Jones,F,Wales,19-May-73
250,274,Ronnie,Rosenthal,F,Israel,11-Oct-63
251,275,Ian,Rush,F,Wales,20-Oct-61
252,276,Paul,Stewart,F,England,07-Oct-64
253,277,Robbie,Fowler,F,England,09-Apr-75
254,279,Tony,Coton,G,England,19-May-61
255,280,Andy,Dibble,G,England,08-May-65
256,281,Martyn,Margetson,G,Wales,08-Sep-71
257,282,Keith,Curle,D,England,14-Nov-63
258,283,Ray,Ranson,D,England,12-Jun-60
259,284,Kare,Ingebrigtsen,D,Norway,11-Nov-65
260,285,Ian,Brightwell,D,England,09-Apr-68
261,286,David,Brightwell,D,England,07-Jan-71
262,287,Michel,Vonk,D,Netherlands,28-Oct-68
263,288,Scott,Thomas,D,England,30-Oct-74
264,289,John,Foster,D,England,19-Sep-73
265,290,Richard,Edghill,D,England,23-Sep-74
266,291,Terry,Phelan,D,Ireland,16-Mar-67
267,292,Andy,Hill,D,England,20-Jan-65
268,293,Steve,Lomas,M,Northern Ireland,18-Jan-74
269,294,Steve,McMahon,M,England,20-Aug-61
270,295,David,White,M,England,30-Oct-67
271,296,Richard,Holden,M,England,09-Sep-64
272,297,Fitzroy,Simpson,M,Jamaica,26-Feb-70
273,298,David,Kerr,M,Scotland,06-Sep-74
274,299,Mike,Quigley,M,England,02-Oct-70
275,300,Garry,Flitcroft,M,England,06-Nov-72
276,301,Peter,Reid,M,England,20-Jun-56
277,302,Paul,Lake,M,England,28-Oct-68
278,303,Adie,Mike,F,England,16-Nov-73
279,304,Niall,Quinn,F,Ireland,06-Oct-66
280,305,Mike,Sheron,F,England,11-Jan-72
281,307,Peter,Schmeichel,G,Denmark,18-Nov-63
282,308,Kevin,Pilkington,G,England,08-Mar-74
283,309,Gary,Walsh,G,England,21-Mar-68
284,310,Les,Sealey,G,England,29-Sep-57
285,311,Brian,Carey,D,Ireland,31-May-68
286,313,John,O'Kane,D,England,15-Nov-74
287,315,Denis,Irwin,D,Ireland,31-Oct-65
288,316,Lee,Martin,D,England,05-Feb-68
289,317,Paul,Parker,D,England,04-Apr-64
290,318,Chris,Casper,D,England,28-Apr-75
291,319,Steve,Bruce,D,England,31-Dec-60
292,320,Gary,Pallister,D,England,30-Jun-65
293,321,Gary,Neville,D,England,18-Feb-75
294,322,Bryan,Robson,M,England,11-Jan-57
295,323,Darren,Ferguson,M,Scotland,09-Feb-72
296,324,Andrei,Kanchelskis,M,Russia,23-Jan-69
297,325,Clayton,Blackmore,M,Wales,23-Sep-64
298,326,Paul,Ince,M,England,21-Oct-67
299,327,Benjamin,Thornley,M,England,21-Apr-75
300,328,Lee,Sharpe,M,England,27-May-71
301,329,Keith,Gillespie,M,Northern Ireland,18-Feb-75
302,330,Mike,Phelan,M,England,24-Sep-62
303,331,David,Beckham,M,England,02-May-75
304,332,Nicky,Butt,M,England,21-Jan-75
305,333,Simon,Davies,M,Wales,23-Apr-74
306,335,Ryan,Giggs,M,Wales,29-Nov-73
307,336,Paul,Scholes,M,England,16-Nov-74
308,337,Brian,McClair,F,Scotland,08-Dec-63
309,338,Dion,Dublin,F,England,22-Apr-69
310,339,Mark,Hughes,F,Wales,01-Nov-63
311,340,Colin,McKee,F,Scotland,22-Aug-73
312,341,Danny,Wallace,F,England,21-Jan-64
313,342,Eric,Cantona,M,France,24-May-66
314,342,Eric,Cantona,F,France,24-May-66
315,345,Steve,Pears,G,England,22-Jan-62
316,346,Ian,Ironside,G,England,08-Mar-64
317,347,Andy,Collett,G,England,28-Oct-73
318,348,Jon,Gittens,D,England,22-Jan-64
319,349,Curtis,Fleming,D,Ireland,08-Oct-68
320,350,Nicky,Mohan,D,England,06-Oct-70
321,351,Michael,Barron,D,England,22-Dec-74
322,352,Alan,Kernaghan,D,Ireland,25-Apr-67
323,353,Andy,Peake,D,England,01-Oct-61
324,354,Derek,Whyte,D,Scotland,31-Aug-68
325,355,Jimmy,Phillips,D,England,08-Feb-66
326,355,Jimmy,Phillips,M,England,08-Feb-66
327,356,Andrew,Todd,D,England,21-Sep-74
328,357,Chris,Kamara,M,England,25-Dec-57
329,358,Graham,Kavanagh,M,Ireland,02-Dec-73
330,359,Phil,Stamp,M,England,12-Dec-75
331,360,Alan,Moore,M,Ireland,25-Nov-74
332,361,Chris,Morris,M,Ireland,24-Dec-63
333,362,Jamie,Pollock,M,England,16-Feb-74
334,363,Robbie,Mustoe,M,England,28-Aug-68
335,364,Dwight,Marshall,F,England,03-Oct-65
336,365,Craig,Hignett,F,England,12-Jan-70
337,366,John,Hendrie,F,Scotland,24-Oct-63
338,367,William,Falconer,F,Scotland,04-May-66
339,368,Paul,Wilkinson,F,England,30-Oct-64
340,369,Tommy,Wright,F,Scotland,10-Jan-66
341,371,Bryan,Gunn,G,Scotland,22-Dec-63
342,372,John,Polston,D,England,10-Jun-68
343,373,Daryl,Sutch,D,England,11-Sep-71
344,374,Jason,Minett,D,England,12-Aug-71
345,375,Colin,Woodthorpe,D,England,13-Jan-69
346,376,Mark,Bowen,D,Wales,07-Dec-63
347,377,Gary,Megson,D,England,02-May-59
348,378,Ian,Culverhouse,D,England,22-Sep-64
349,379,Ian,Butterworth,D,England,25-Jan-64
350,380,Rob,Newman,D,England,13-Dec-63
351,381,David,Smith,M,England,26-Dec-70
352,382,Ian,Crook,M,England,18-Jan-63
353,383,Jeremy,Goss,M,Wales,11-May-65
354,384,Darren,Eadie,M,England,10-Jun-75
355,385,Andy,Johnson,M,Wales,02-May-74
356,386,Mark,Robins,F,England,22-Dec-69
357,387,Jamie,Cureton,F,England,28-Aug-75
358,388,Ruel,Fox,F,Montserrat,14-Jan-68
359,389,Efan,Ekoku,F,Nigeria,08-Jun-67
